id,rank,title,url,score,comments,permalink,fetched_at,lang,clean,token_count
45196173,1,,,193,67 comments,https://news.ycombinator.com/item?id=45196173,2025-09-10T15:12:35.480130+00:00,tl,nan,1
45192655,2,,,658,138 comments,https://news.ycombinator.com/item?id=45192655,2025-09-10T15:12:35.480355+00:00,tl,nan,1
45196437,3,,,59,20 comments,https://news.ycombinator.com/item?id=45196437,2025-09-10T15:12:35.480523+00:00,tl,nan,1
45195520,4,,,407,464 comments,https://news.ycombinator.com/item?id=45195520,2025-09-10T15:12:35.480683+00:00,tl,nan,1
45186015,5,,,828,1689 comments,https://news.ycombinator.com/item?id=45186015,2025-09-10T15:12:35.480839+00:00,tl,nan,1
45197187,6,,,82,59 comments,https://news.ycombinator.com/item?id=45197187,2025-09-10T15:12:35.481000+00:00,tl,nan,1
45155846,7,,,21,2 comments,https://news.ycombinator.com/item?id=45155846,2025-09-10T15:12:35.481154+00:00,tl,nan,1
45185756,8,,,523,170 comments,https://news.ycombinator.com/item?id=45185756,2025-09-10T15:12:35.481305+00:00,tl,nan,1
45163417,9,,,32,6 comments,https://news.ycombinator.com/item?id=45163417,2025-09-10T15:12:35.481437+00:00,tl,nan,1
45191347,10,,,208,53 comments,https://news.ycombinator.com/item?id=45191347,2025-09-10T15:12:35.481566+00:00,tl,nan,1
45154088,11,,,51,24 comments,https://news.ycombinator.com/item?id=45154088,2025-09-10T15:12:35.481698+00:00,tl,nan,1
45196433,12,,,0,hide,https://news.ycombinator.com/item?id=45196433,2025-09-10T15:12:35.481808+00:00,tl,nan,1
45182381,13,,,603,316 comments,https://news.ycombinator.com/item?id=45182381,2025-09-10T15:12:35.481938+00:00,tl,nan,1
45182657,14,,,445,801 comments,https://news.ycombinator.com/item?id=45182657,2025-09-10T15:12:35.482067+00:00,tl,nan,1
45171733,15,,,174,47 comments,https://news.ycombinator.com/item?id=45171733,2025-09-10T15:12:35.482195+00:00,tl,nan,1
45183029,16,,,774,430 comments,https://news.ycombinator.com/item?id=45183029,2025-09-10T15:12:35.482323+00:00,tl,nan,1
45157425,17,,,50,43 comments,https://news.ycombinator.com/item?id=45157425,2025-09-10T15:12:35.482453+00:00,tl,nan,1
45192194,18,,,79,32 comments,https://news.ycombinator.com/item?id=45192194,2025-09-10T15:12:35.482580+00:00,tl,nan,1
45157094,19,,,27,17 comments,https://news.ycombinator.com/item?id=45157094,2025-09-10T15:12:35.482706+00:00,tl,nan,1
45194165,20,,,54,47 comments,https://news.ycombinator.com/item?id=45194165,2025-09-10T15:12:35.482832+00:00,tl,nan,1
45177683,21,,,316,410 comments,https://news.ycombinator.com/item?id=45177683,2025-09-10T15:12:35.482955+00:00,tl,nan,1
45196568,22,,,37,24 comments,https://news.ycombinator.com/item?id=45196568,2025-09-10T15:12:35.483079+00:00,tl,nan,1
45154142,23,,,161,39 comments,https://news.ycombinator.com/item?id=45154142,2025-09-10T15:12:35.483206+00:00,tl,nan,1
45190777,24,,,109,11 comments,https://news.ycombinator.com/item?id=45190777,2025-09-10T15:12:35.483333+00:00,tl,nan,1
45186265,25,,,448,208 comments,https://news.ycombinator.com/item?id=45186265,2025-09-10T15:12:35.483458+00:00,tl,nan,1
45185875,26,,,187,299 comments,https://news.ycombinator.com/item?id=45185875,2025-09-10T15:12:35.483589+00:00,tl,nan,1
45158118,27,,,139,21 comments,https://news.ycombinator.com/item?id=45158118,2025-09-10T15:12:35.483718+00:00,tl,nan,1
45183050,28,,,227,35 comments,https://news.ycombinator.com/item?id=45183050,2025-09-10T15:12:35.483852+00:00,tl,nan,1
45157505,29,,,40,33 comments,https://news.ycombinator.com/item?id=45157505,2025-09-10T15:12:35.483978+00:00,tl,nan,1
45198322,30,,,7,discuss,https://news.ycombinator.com/item?id=45198322,2025-09-10T15:12:35.484110+00:00,tl,nan,1
45196173,1,,,197,68 comments,https://news.ycombinator.com/item?id=45196173,2025-09-10T15:21:38.786436+00:00,tl,nan,1
45192655,2,,,665,138 comments,https://news.ycombinator.com/item?id=45192655,2025-09-10T15:21:38.786631+00:00,tl,nan,1
45196437,3,,,65,27 comments,https://news.ycombinator.com/item?id=45196437,2025-09-10T15:21:38.786785+00:00,tl,nan,1
45195520,4,,,415,476 comments,https://news.ycombinator.com/item?id=45195520,2025-09-10T15:21:38.786922+00:00,tl,nan,1
45197187,5,,,90,61 comments,https://news.ycombinator.com/item?id=45197187,2025-09-10T15:21:38.787070+00:00,tl,nan,1
45186015,6,,,832,1695 comments,https://news.ycombinator.com/item?id=45186015,2025-09-10T15:21:38.787202+00:00,tl,nan,1
45155846,7,,,24,2 comments,https://news.ycombinator.com/item?id=45155846,2025-09-10T15:21:38.787337+00:00,tl,nan,1
45185756,8,,,525,172 comments,https://news.ycombinator.com/item?id=45185756,2025-09-10T15:21:38.787469+00:00,tl,nan,1
45163417,9,,,34,6 comments,https://news.ycombinator.com/item?id=45163417,2025-09-10T15:21:38.787602+00:00,tl,nan,1
45191347,10,,,210,54 comments,https://news.ycombinator.com/item?id=45191347,2025-09-10T15:21:38.787734+00:00,tl,nan,1
45182381,11,,,605,316 comments,https://news.ycombinator.com/item?id=45182381,2025-09-10T15:21:38.787866+00:00,tl,nan,1
45154088,12,,,54,25 comments,https://news.ycombinator.com/item?id=45154088,2025-09-10T15:21:38.788001+00:00,tl,nan,1
45196433,13,,,0,hide,https://news.ycombinator.com/item?id=45196433,2025-09-10T15:21:38.788112+00:00,tl,nan,1
45182657,14,,,448,808 comments,https://news.ycombinator.com/item?id=45182657,2025-09-10T15:21:38.788245+00:00,tl,nan,1
45171733,15,,,177,47 comments,https://news.ycombinator.com/item?id=45171733,2025-09-10T15:21:38.788375+00:00,tl,nan,1
45183029,16,,,774,430 comments,https://news.ycombinator.com/item?id=45183029,2025-09-10T15:21:38.788506+00:00,tl,nan,1
45192194,17,,,79,33 comments,https://news.ycombinator.com/item?id=45192194,2025-09-10T15:21:38.788636+00:00,tl,nan,1
45196568,18,,,42,27 comments,https://news.ycombinator.com/item?id=45196568,2025-09-10T15:21:38.788784+00:00,tl,nan,1
45177683,19,,,318,413 comments,https://news.ycombinator.com/item?id=45177683,2025-09-10T15:21:38.789108+00:00,tl,nan,1
45194165,20,,,56,49 comments,https://news.ycombinator.com/item?id=45194165,2025-09-10T15:21:38.789285+00:00,tl,nan,1
45157094,21,,,27,18 comments,https://news.ycombinator.com/item?id=45157094,2025-09-10T15:21:38.789430+00:00,tl,nan,1
45154142,22,,,162,39 comments,https://news.ycombinator.com/item?id=45154142,2025-09-10T15:21:38.789567+00:00,tl,nan,1
45186265,23,,,449,208 comments,https://news.ycombinator.com/item?id=45186265,2025-09-10T15:21:38.789706+00:00,tl,nan,1
45190777,24,,,110,11 comments,https://news.ycombinator.com/item?id=45190777,2025-09-10T15:21:38.789844+00:00,tl,nan,1
45157425,25,,,51,49 comments,https://news.ycombinator.com/item?id=45157425,2025-09-10T15:21:38.789980+00:00,tl,nan,1
45185875,26,,,188,302 comments,https://news.ycombinator.com/item?id=45185875,2025-09-10T15:21:38.790116+00:00,tl,nan,1
45158118,27,,,142,21 comments,https://news.ycombinator.com/item?id=45158118,2025-09-10T15:21:38.790251+00:00,tl,nan,1
45183050,28,,,227,35 comments,https://news.ycombinator.com/item?id=45183050,2025-09-10T15:21:38.790388+00:00,tl,nan,1
45157505,29,,,40,33 comments,https://news.ycombinator.com/item?id=45157505,2025-09-10T15:21:38.790519+00:00,tl,nan,1
45182770,30,,,248,87 comments,https://news.ycombinator.com/item?id=45182770,2025-09-10T15:21:38.790651+00:00,tl,nan,1
45196173,1,,,197,68 comments,https://news.ycombinator.com/item?id=45196173,2025-09-10T15:22:07.805161+00:00,tl,nan,1
45192655,2,,,665,138 comments,https://news.ycombinator.com/item?id=45192655,2025-09-10T15:22:07.805351+00:00,tl,nan,1
45196437,3,,,65,27 comments,https://news.ycombinator.com/item?id=45196437,2025-09-10T15:22:07.805500+00:00,tl,nan,1
45195520,4,,,415,476 comments,https://news.ycombinator.com/item?id=45195520,2025-09-10T15:22:07.805639+00:00,tl,nan,1
45197187,5,,,90,61 comments,https://news.ycombinator.com/item?id=45197187,2025-09-10T15:22:07.805776+00:00,tl,nan,1
45186015,6,,,832,1695 comments,https://news.ycombinator.com/item?id=45186015,2025-09-10T15:22:07.805915+00:00,tl,nan,1
45155846,7,,,24,2 comments,https://news.ycombinator.com/item?id=45155846,2025-09-10T15:22:07.806050+00:00,tl,nan,1
45185756,8,,,525,172 comments,https://news.ycombinator.com/item?id=45185756,2025-09-10T15:22:07.806181+00:00,tl,nan,1
45163417,9,,,34,6 comments,https://news.ycombinator.com/item?id=45163417,2025-09-10T15:22:07.806312+00:00,tl,nan,1
45191347,10,,,210,54 comments,https://news.ycombinator.com/item?id=45191347,2025-09-10T15:22:07.806444+00:00,tl,nan,1
45182381,11,,,605,316 comments,https://news.ycombinator.com/item?id=45182381,2025-09-10T15:22:07.806578+00:00,tl,nan,1
45154088,12,,,54,25 comments,https://news.ycombinator.com/item?id=45154088,2025-09-10T15:22:07.806711+00:00,tl,nan,1
45196433,13,,,0,hide,https://news.ycombinator.com/item?id=45196433,2025-09-10T15:22:07.806822+00:00,tl,nan,1
45182657,14,,,448,808 comments,https://news.ycombinator.com/item?id=45182657,2025-09-10T15:22:07.806954+00:00,tl,nan,1
45171733,15,,,177,47 comments,https://news.ycombinator.com/item?id=45171733,2025-09-10T15:22:07.807084+00:00,tl,nan,1
45183029,16,,,774,430 comments,https://news.ycombinator.com/item?id=45183029,2025-09-10T15:22:07.807212+00:00,tl,nan,1
45192194,17,,,79,33 comments,https://news.ycombinator.com/item?id=45192194,2025-09-10T15:22:07.807342+00:00,tl,nan,1
45196568,18,,,42,27 comments,https://news.ycombinator.com/item?id=45196568,2025-09-10T15:22:07.807490+00:00,tl,nan,1
45177683,19,,,318,413 comments,https://news.ycombinator.com/item?id=45177683,2025-09-10T15:22:07.807618+00:00,tl,nan,1
