id,source_type,source_name,url,title,score,num_comments,rank,published_at,author,permalink,fetched_at,language
45196173,social,HackerNews,https://news.ycombinator.com/,,194,67,1,,tosh,https://news.ycombinator.com/item?id=45196173,2025-09-10T15:18:24.446178+00:00,en
45192655,social,HackerNews,https://news.ycombinator.com/,,662,138,2,,vuciv,https://news.ycombinator.com/item?id=45192655,2025-09-10T15:18:24.446403+00:00,en
45196437,social,HackerNews,https://news.ycombinator.com/,,64,24,3,,feross,https://news.ycombinator.com/item?id=45196437,2025-09-10T15:18:24.446585+00:00,en
45195520,social,HackerNews,https://news.ycombinator.com/,,411,470,4,,robtherobber,https://news.ycombinator.com/item?id=45195520,2025-09-10T15:18:24.446757+00:00,en
45186015,social,HackerNews,https://news.ycombinator.com/,,830,1693,5,,excerionsforte,https://news.ycombinator.com/item?id=45186015,2025-09-10T15:18:24.446927+00:00,en
45197187,social,HackerNews,https://news.ycombinator.com/,,85,61,6,,coloneltcb,https://news.ycombinator.com/item?id=45197187,2025-09-10T15:18:24.447099+00:00,en
45155846,social,HackerNews,https://news.ycombinator.com/,,22,2,7,,MKuykendall,https://news.ycombinator.com/item?id=45155846,2025-09-10T15:18:24.447263+00:00,en
45185756,social,HackerNews,https://news.ycombinator.com/,,524,171,8,,rbanffy,https://news.ycombinator.com/item?id=45185756,2025-09-10T15:18:24.447429+00:00,en
45163417,social,HackerNews,https://news.ycombinator.com/,,32,6,9,,ibobev,https://news.ycombinator.com/item?id=45163417,2025-09-10T15:18:24.447592+00:00,en
45191347,social,HackerNews,https://news.ycombinator.com/,,209,54,10,,Gaishan,https://news.ycombinator.com/item?id=45191347,2025-09-10T15:18:24.447753+00:00,en
45154088,social,HackerNews,https://news.ycombinator.com/,,52,25,11,,zdw,https://news.ycombinator.com/item?id=45154088,2025-09-10T15:18:24.447917+00:00,en
45182381,social,HackerNews,https://news.ycombinator.com/,,603,316,12,,meetpateltech,https://news.ycombinator.com/item?id=45182381,2025-09-10T15:18:24.448080+00:00,en
45196433,social,HackerNews,https://news.ycombinator.com/,,0,0,13,,,https://news.ycombinator.com/item?id=45196433,2025-09-10T15:18:24.448218+00:00,en
45182657,social,HackerNews,https://news.ycombinator.com/,,446,802,14,,bikenaga,https://news.ycombinator.com/item?id=45182657,2025-09-10T15:18:24.448380+00:00,en
45171733,social,HackerNews,https://news.ycombinator.com/,,177,47,15,,CharlesW,https://news.ycombinator.com/item?id=45171733,2025-09-10T15:18:24.448539+00:00,en
45183029,social,HackerNews,https://news.ycombinator.com/,,774,430,16,,WhyNotHugo,https://news.ycombinator.com/item?id=45183029,2025-09-10T15:18:24.448702+00:00,en
45192194,social,HackerNews,https://news.ycombinator.com/,,79,32,17,,lawrenceyan,https://news.ycombinator.com/item?id=45192194,2025-09-10T15:18:24.448863+00:00,en
45157094,social,HackerNews,https://news.ycombinator.com/,,27,17,18,,GeneralMaximus,https://news.ycombinator.com/item?id=45157094,2025-09-10T15:18:24.449021+00:00,en
45177683,social,HackerNews,https://news.ycombinator.com/,,316,413,19,,geerlingguy,https://news.ycombinator.com/item?id=45177683,2025-09-10T15:18:24.449176+00:00,en
45194165,social,HackerNews,https://news.ycombinator.com/,,55,47,20,,GeoAtreides,https://news.ycombinator.com/item?id=45194165,2025-09-10T15:18:24.449331+00:00,en
45196568,social,HackerNews,https://news.ycombinator.com/,,39,26,21,,hiAndrewQuinn,https://news.ycombinator.com/item?id=45196568,2025-09-10T15:18:24.449488+00:00,en
45157425,social,HackerNews,https://news.ycombinator.com/,,51,47,22,,ColinWright,https://news.ycombinator.com/item?id=45157425,2025-09-10T15:18:24.449643+00:00,en
45186265,social,HackerNews,https://news.ycombinator.com/,,449,208,23,,circuit,https://news.ycombinator.com/item?id=45186265,2025-09-10T15:18:24.449799+00:00,en
45154142,social,HackerNews,https://news.ycombinator.com/,,161,39,24,,lordnacho,https://news.ycombinator.com/item?id=45154142,2025-09-10T15:18:24.449954+00:00,en
45190777,social,HackerNews,https://news.ycombinator.com/,,109,11,25,,lioeters,https://news.ycombinator.com/item?id=45190777,2025-09-10T15:18:24.450115+00:00,en
45185875,social,HackerNews,https://news.ycombinator.com/,,187,302,26,,ChrisArchitect,https://news.ycombinator.com/item?id=45185875,2025-09-10T15:18:24.450279+00:00,en
45158118,social,HackerNews,https://news.ycombinator.com/,,142,21,27,,losfair,https://news.ycombinator.com/item?id=45158118,2025-09-10T15:18:24.450437+00:00,en
